1;NUOVO RANGE (con SFERA EBBASTA);Rkomi;2.749.694,00
2;lady;sangiovanni;2.267.029,00
3;Mi manchi;Aka 7even;2.140.440,00
4;PARTIRE DA TE;Rkomi;1.986.228,00
5;tutta la notte;sangiovanni;1.903.081,00
6;10 RAGAZZE (con ERNIA);Rkomi;1.752.835,00
7;VOCE;Madame;1.654.478,00
8;0 passi;Deddy;1.653.228,00
9;Las Vegas;Tancredi;1.611.232,00
10;Ti raggiungerò;Fred De Palma;1.585.239,00
11;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton;1.572.567,00
12;La genesi del tuo colore;Irama;1.543.673,00
13;LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO);MACE;1.542.325,00
14;LUNA PIENA (con IRAMA);Rkomi;1.522.378,00
15;MONTERO (Call Me By Your Name);Lil Nas X;1.445.158,00
16;Musica leggerissima;Colapesce;1.315.046,00
17;Yo No Sé;Rvfv;1.264.243,00
18;Buongiorno vita;Ultimo;1.199.979,00
19;Notti In Bianco;BLANCO;1.185.847,00
20;DIECIMILAVOCI (con ARIETE);Rkomi;1.184.817,00
21;FANTASMI ( feat. Geolier & Marracash);TY1;1.184.487,00
22;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;1.125.952,00
23;Ferma A Guardare (feat. Pinguini Tattici Nucleari);Ernia;1.067.503,00
24;Your Love (9PM);ATB;1.055.638,00
25;HO SPENTO IL CIELO (con TOMMASO PARADISO);Rkomi;1.003.226,00
26;ME O LE MIE CANZONI? (con GAZZELLE);Rkomi;1.002.239,00
27;Body (Remix) [feat. Capo Plaza & Rondodasosa];Tion Wayne;1.001.237,00
28;CANCELLI DI MEZZANOTTE (con CHIELLO_FSK);Rkomi;998.898,00
29;CHIAMAMI PER NOME;Francesca Michielin;964.608,00
30;ZITTI E BUONI;Måneskin;948.259,00
31;Il Cielo Contromano;Deddy;940.012,00
32;Parlami;Fasma;932.767,00
33;Hecha Pa' Mi;Boza;854.032,00
34;Dieci;Annalisa;825.730,00
35;Fiamme negli occhi;Coma_Cose;802.423,00
36;Lo-fi Drill;Tedua;793.931,00
37;DUBAI;Rondodasosa;793.011,00
38;Meteoriti;Mr.Rain;766.026,00
39;E TE VENG' A PIGLIÀ;LIBERATO;759.150,00
40;hype;sangiovanni;757.715,00
41;SOPRA LE CANZONI (con DARDUST);Rkomi;746.020,00
42;Follow You;Imagine Dragons;724.880,00
43;Superclassico;Ernia;724.217,00
44;MARE CHE NON SEI (con GAIA);Rkomi;702.361,00
45;PARADISO VS. INFERNO (INTERLUDE) (con ROSHELLE);Rkomi;700.769,00
46;Glicine;Noemi;687.776,00
47;Venere e Marte (feat. Marco Mengoni-Frah Quintale);Takagi & Ketra;679.596,00
48;Astronaut In The Ocean;Masked Wolf;674.463,00
49;BED;Joel Corry;669.126,00
50;Envidioso (feat. Morad);Capo Plaza;647.355,00
51;Inferno;Tedua;646.107,00
52;DJUNGLE (feat. Marracash-Taxi B & Paki);TY1;630.617,00
53;Beautiful Mistakes (feat. Megan Thee Stallion);Maroon 5;612.122,00
54;Kiss Me More (feat. SZA);Doja Cat;606.588,00
55;Non Fare Così;Capo Plaza;601.828,00
56;TAXI DRIVER;Rkomi;589.465,00
57;guccy bag;sangiovanni;585.102,00
58;NADA (feat. Guè Pequeno-Capo Plaza & Pablo Chill-E);TY1;584.869,00
59;Lifestyle;Guè Pequeno;582.007,00
