1;Kiss Me More (feat. SZA);Doja Cat;11.870.742,00
2;RAPSTAR;Polo G;11.430.518,00
3;MONTERO (Call Me By Your Name);Lil Nas X;9.256.554,00
4;Your Power;Billie Eilish;9.162.142,00
5;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;8.250.068,00
6;Levitating (feat. DaBaby);Dua Lipa;8.095.391,00
7;deja vu;Olivia Rodrigo;6.896.410,00
8;Astronaut In The Ocean;Masked Wolf;6.250.603,00
9;Leave The Door Open;Bruno Mars;5.399.045,00
10;Heartbreak Anniversary;Giveon;5.334.342,00
11;Save Your Tears (with Ariana Grande) (Remix);The Weeknd;5.260.014,00
12;Up;Cardi B;5.126.857,00
13;Heat Waves;Glass Animals;5.031.102,00
14;Wants and Needs (feat. Lil Baby);Drake;4.910.673,00
15;Calling My Phone;Lil Tjay;4.624.612,00
16;telepatía;Kali Uchis;4.456.837,00
17;drivers license;Olivia Rodrigo;4.444.266,00
18;Best Friend (feat. Doja Cat);Saweetie;4.395.858,00
19;Streets;Doja Cat;4.367.745,00
20;Solid (feat. Drake);Young Stoner Life;4.282.898,00
21;Good Days;SZA;4.267.483,00
22;WITHOUT YOU (with Miley Cyrus);The Kid LAROI;4.133.753,00
23;DÁKITI;Bad Bunny;3.859.154,00
24;EVERY CHANCE I GET (feat. Lil Baby & Lil Durk);DJ Khaled;3.804.068,00
25;Back In Blood (feat. Lil Durk);Pooh Shiesty;3.709.444,00
26;I DID IT (feat. Post Malone-Megan Thee Stallion-Lil Baby & DaBaby);DJ Khaled;3.691.893,00
27;Blinding Lights;The Weeknd;3.679.850,00
28;durag activity (with Travis Scott);Baby Keem;3.559.213,00
29;Headshot (feat. Polo G & Fivio Foreign);Lil Tjay;3.478.121,00
30;What’s Next;Drake;3.456.607,00
31;Beautiful Mistakes (feat. Megan Thee Stallion);Maroon 5;3.363.246,00
32;Mood (feat. iann dior);24kGoldn;3.286.969,00
33;Martin & Gina;Polo G;3.286.639,00
34;Hold On;Justin Bieber;3.274.776,00
35;my ex's best friend (with blackbear);Machine Gun Kelly;3.236.826,00
36;Ramen & OJ;Joyner Lucas;3.128.957,00
37;love race (feat. Kellin Quinn);Machine Gun Kelly;3.102.401,00
38;Goosebumps - Remix;Travis Scott;3.081.836,00
39;Save Your Tears;The Weeknd;2.975.906,00
40;Sweater Weather;The Neighbourhood;2.950.979,00
41;Runaway;AURORA;2.906.344,00
42;Run It Up (feat. Offset & Moneybagg Yo);Lil Tjay;2.872.335,00
43;4 Da Gang (with Roddy Ricch);42 Dugg;2.711.773,00
44;ROCKSTAR (feat. Roddy Ricch);DaBaby;2.685.140,00
45;Fiel;Los Legendarios;2.676.383,00
46;Lemonade (feat. Gunna-Don Toliver & NAV);Internet Money;2.669.531,00
47;Big Gangsta;Kevin Gates;2.641.544,00
48;Tampa;Cico P;2.623.645,00
49;Ski;Young Stoner Life;2.593.780,00
50;WITHOUT YOU;The Kid LAROI;2.519.629,00
51;Forever After All;Luke Combs;2.516.901,00
52;For The Night (feat. Lil Baby & DaBaby);Pop Smoke;2.494.001,00
53;What You Know Bout Love;Pop Smoke;2.467.737,00
54;34+35;Ariana Grande;2.466.316,00
55;WAP (feat. Megan Thee Stallion);Cardi B;2.443.738,00
56;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;2.441.134,00
57;LET IT GO (feat. Justin Bieber & 21 Savage);DJ Khaled;2.429.703,00
58;On Me (Remix) (with Megan Thee Stallion);Lil Baby;2.425.641,00
59;Laugh Now Cry Later (feat. Lil Durk);Drake;2.424.503,00
60;Wishing Well;Juice WRLD;2.401.155,00
61;Botella Tras Botella;Gera MX;2.391.672,00
62;Circles;Post Malone;2.375.226,00
63;All Girls Are The Same;Juice WRLD;2.364.846,00
64;Watermelon Sugar;Harry Styles;2.316.653,00
65;Therefore I Am;Billie Eilish;2.315.828,00
66;POPSTAR (feat. Drake);DJ Khaled;2.313.097,00
67;Arcade;Duncan Laurence;2.295.493,00
68;Lucid Dreams;Juice WRLD;2.289.936,00
69;Mr. Perfectly Fine (Taylor’s Version) (From The Vault);Taylor Swift;2.288.981,00
70;Talking to the Moon;Bruno Mars;2.265.321,00
71;Come & Go (with Marshmello);Juice WRLD;2.263.412,00
72;No Role Modelz;J. Cole;2.251.098,00
73;Dreams - 2004 Remaster;Fleetwood Mac;2.250.103,00
74;Cloud 9;Beach Bunny;2.225.525,00
75;Beat Box 3 (feat. DaBaby);SpotemGottem;2.221.275,00
76;We're Good;Dua Lipa;2.198.233,00
77;Whats Poppin (feat. DaBaby-Tory Lanez & Lil Wayne) [Remix] - Bonus Track;Jack Harlow;2.195.639,00
78;The Business;Tiësto;2.184.191,00
79;Freaks;Surf Curse;2.168.897,00
80;positions;Ariana Grande;2.162.361,00
81;Richer (feat. Polo G);Rod Wave;2.136.829,00
82;Someone You Loved;Lewis Capaldi;2.118.687,00
83;Blueberry Faygo;Lil Mosey;2.095.007,00
84;Don't Start Now;Dua Lipa;2.058.836,00
85;you broke me first;Tate McRae;2.050.816,00
86;Dick (feat. Doja Cat);StarBoi3;2.037.566,00
87;Robbery;Juice WRLD;2.025.309,00
88;The Good Ones;Gabby Barrett;2.016.927,00
89;Anyone;Justin Bieber;2.014.965,00
90;Choker;Twenty One Pilots;2.004.947,00
91;Wasted On You;Morgan Wallen;1.999.399,00
92;Time Today;Moneybagg Yo;1.991.796,00
93;Daddy Issues;The Neighbourhood;1.987.997,00
94;Holy (feat. Chance The Rapper);Justin Bieber;1.987.059,00
95;Electric Love;BØRNS;1.985.752,00
96;The Box;Roddy Ricch;1.983.098,00
97;21;Polo G;1.972.958,00
98;On Me;Lil Baby;1.956.665,00
99;goosebumps;Travis Scott;1.941.338,00
100;Final Warning;NLE Choppa;1.939.465,00
101;Shy Away;Twenty One Pilots;1.935.746,00
102;Heather;Conan Gray;1.932.335,00
103;Cupid's Chokehold / Breakfast in America;Gym Class Heroes;1.918.243,00
104;Life Is Good (feat. Drake);Future;1.914.780,00
105;Mr. Brightside;The Killers;1.903.798,00
106;Whoopty;CJ;1.903.444,00
107;LA NOCHE DE ANOCHE;Bad Bunny;1.893.525,00
108;lovely (with Khalid);Billie Eilish;1.877.609,00
109;Whiskey Glasses;Morgan Wallen;1.857.466,00
110;hot girl bummer;blackbear;1.855.387,00
111;Spiral;21 Savage;1.831.798,00
112;20 Min;Lil Uzi Vert;1.828.944,00
113;Put Your Records On;Ritt Momney;1.812.594,00
114;Tongue Tied;Grouplove;1.798.246,00
115;SLOW DANCING IN THE DARK;Joji;1.793.283,00
116;Bandit (with YoungBoy Never Broke Again);Juice WRLD;1.743.650,00
117;Come Through (feat. Chris Brown);H.E.R.;1.734.439,00
118;Slumber Party (feat. Princess Nokia);Ashnikko;1.730.351,00
119;You;Regard;1.725.020,00
120;SORRY NOT SORRY (feat. Nas-JAY-Z & James Fauntleroy) - Harmonies by The Hive;DJ Khaled;1.714.821,00
121;Body;Megan Thee Stallion;1.713.609,00
