1;MONTERO (Call Me By Your Name);Lil Nas X;46.541.909;https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd;;;;;
2;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;41.719.872;https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI;;;;;
3;Kiss Me More (feat. SZA);Doja Cat;34.664.284;https://open.spotify.com/track/748mdHapucXQri7IAO8yFK;;;;;
4;Your Power;Billie Eilish;32.938.716;https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD;;;;;
5;Levitating (feat. DaBaby);Dua Lipa;28.581.586;https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF;;;;;
6;Astronaut In The Ocean;Masked Wolf;26.918.334;https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh;;;;;
7;Leave The Door Open;Bruno Mars;25.641.105;https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh;;;;;
8;RAPSTAR;Polo G;25.342.935;https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6;;;;;
9;Save Your Tears (with Ariana Grande) (Remix);The Weeknd;24.068.955;https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy;;;;;
10;Fiel;Los Legendarios;23.965.145;https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs;;;;;
11;deja vu;Olivia Rodrigo;21.765.571;https://open.spotify.com/track/61KpQadow081I2AsbeLcsb;;;;;
12;Pareja Del Año;Sebastian Yatra;20.899.730;https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM;;;;;
13;drivers license;Olivia Rodrigo;19.895.667;https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS;;;;;
14;Heartbreak Anniversary;Giveon;19.220.863;https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp;;;;;
15;Botella Tras Botella;Gera MX;18.675.665;https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK;;;;;
16;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton;18.551.653;https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl;;;;;
17;Am;Nio Garcia;18.500.906;https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv;;;;;
18;Blinding Lights;The Weeknd;18.361.347;https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b;;;;;
19;telepatía;Kali Uchis;17.979.938;https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B;;;;;
20;DÁKITI;Bad Bunny;17.233.511;https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49;;;;;
21;The Business;Tiësto;16.758.242;https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN;;;;;
22;Runaway;AURORA;16.701.677;https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6;;;;;
23;Hold On;Justin Bieber;15.399.104;https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5;;;;;
24;Save Your Tears;The Weeknd;14.773.311;https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g;;;;;
25;Up;Cardi B;14.440.018;https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi;;;;;
26;Mood (feat. iann dior);24kGoldn;13.425.883;https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m;;;;;
27;Arcade;Duncan Laurence;13.101.618;https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C;;;;;
28;Heat Waves;Glass Animals;12.988.536;https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx;;;;;
29;Bandido;Myke Towers;12.793.092;https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb;;;;;
30;Streets;Doja Cat;12.707.455;https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf;;;;;
31;Your Love (9PM);ATB;12.547.102;https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx;;;;;
32;Goosebumps - Remix;Travis Scott;12.431.329;https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9;;;;;
33;911;Sech;12.367.606;https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX;;;;;
34;WITHOUT YOU (with Miley Cyrus);The Kid LAROI;12.209.377;https://open.spotify.com/track/1EHUQesfVKwbthtNcpBi9g;;;;;
35;Watermelon Sugar;Harry Styles;12.129.175;https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY;;;;;
36;EL MAKINON;KAROL G;12.038.438;https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M;;;;;
37;Beautiful Mistakes (feat. Megan Thee Stallion);Maroon 5;12.036.812;https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU;;;;;
38;Dynamite;BTS;11.853.283;https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc;;;;;
39;Calling My Phone;Lil Tjay;11.534.491;https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE;;;;;
