"1;Kiss Me More (feat. SZA);Doja Cat;1629684;https://open.spotify.com/track/748mdHapucXQri7IAO8yFK"
"2;RAPSTAR;Polo G;1409001;https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6"
"3;Miss The Rage (feat. Playboi Carti);Trippie Redd;1201645;https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq"
"4;MONTERO (Call Me By Your Name);Lil Nas X;1130534;https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd"
"5;Levitating (feat. DaBaby);Dua Lipa;1093928;https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF"
"6;i n t e r l u d e;J. Cole;1060567;https://open.spotify.com/track/2gyYjQWXKxemhAyMPgctIx"
"7;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;1020906;https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI"
"8;deja vu;Olivia Rodrigo;904461;https://open.spotify.com/track/61KpQadow081I2AsbeLcsb"
"9;Astronaut In The Ocean;Masked Wolf;788339;https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh"
"10;Leave The Door Open;Bruno Mars;725009;https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh"
"11;Wants and Needs (feat. Lil Baby);Drake;703694;https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b"
"12;Heartbreak Anniversary;Giveon;697957;https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp"
"13;Your Power;Billie Eilish;690226;https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD"
"14;Heat Waves;Glass Animals;683665;https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx"
"15;Up;Cardi B;648419;https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi"
"16;Save Your Tears (with Ariana Grande) (Remix);The Weeknd;610357;https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy"
"17;drivers license;Olivia Rodrigo;601664;https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS"
"18;Calling My Phone;Lil Tjay;580666;https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE"
"19;telepatía;Kali Uchis;580432;https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B"
"20;Streets;Doja Cat;569132;https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf"
"21;Good Days;SZA;563539;https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A"
